category,part_no,description,p3_qty,p3_extras,p3_total,spare,grand_total,site_ALBA,site_ALVF,site_ALVY,site_BAND,site_BENT,site_BKLY,site_BUCK,site_CAPP,site_CHEM,site_COWL,site_CPJK,site_EUGE,site_FAMT,site_FAVW,site_FORT,site_GMRS,site_GRIZ,site_HAPY,site_KEEL,site_LANE,site_LAPI,site_LNHR,site_MALN,site_MARN,site_MCLO,site_MNCR,site_MOPN,site_NBMO,site_OSTD,site_PERL,site_POAN,site_PROH,site_RDMD,site_REED,site_REST,site_SALE,site_SANT,site_SHEL,site_SOMW,site_STJO,site_SUML,site_SYCN,site_TAHK,site_WEND,site_WKMZ,extras_ALBA,extras_ALVF,extras_ALVY,extras_BAND,extras_BENT,extras_BKLY,extras_BUCK,extras_CAPP,extras_CHEM,extras_COWL,extras_CPJK,extras_EUGE,extras_FAMT,extras_FAVW,extras_FORT,extras_GMRS,extras_GRIZ,extras_HAPY,extras_KEEL,extras_LANE,extras_LAPI,extras_LNHR,extras_MALN,extras_MARN,extras_MCLO,extras_MNCR,extras_MOPN,extras_NBMO,extras_OSTD,extras_PERL,extras_POAN,extras_PROH,extras_RDMD,extras_REED,extras_REST,extras_SALE,extras_SANT,extras_SHEL,extras_SOMW,extras_STJO,extras_SUML,extras_SYCN,extras_TAHK,extras_WEND,extras_WKMZ
Optics,3HE00028CA,SAR 1-Port 1000Base-LX SFP SM 10KM 1310nm LC Connector,362,346,708,45,415,8,9,8,16,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,0,8,8,8,8,8,8,8,8,7,8,8,8,10,8,9,8,16,8,8,8,4,8,8,8,8,8,8,8,4,8,8,8,8,8,8,8,8,8,8,8,8,8,8,4,0,8,8,8,8,8,8,4,8,7,8,8,8,10
Optics,3HE11239AA,QSFP28 - 100GBase-ER4Lite RoHS6/6 0/70C,63,8,71,3,69,2,0,4,0,2,2,0,0,4,0,2,2,0,0,2,0,2,0,4,4,0,0,1,0,4,4,2,0,2,4,0,0,2,0,0,4,0,0,0,3,3,2,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
Optics,3HE04824AA,SFP+ 10GE SR - LC ROHS6/6 0/70C,64,39,103,0,64,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0,0,8,0,0,4,3,0,11,4,0,0,0,0,4,4,0,0,8,0,0,0,4,2,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,1,0,11,0,0,0,0,0,3,4,0,0,8,0,0,0,0,0,0,0,4,0,0,0,0
Optics,3HE15276AA,QSFP28 100G DR 500m - SINGLE LAMBDA,40,0,40,4,44,0,0,4,0,0,0,0,0,4,0,0,0,0,4,0,0,4,0,0,4,2,0,2,4,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Optics,3HE16558AA,QSFP28 - 100GE ZR4 0/70C,36,4,40,0,36,2,0,0,0,0,2,0,0,0,0,0,2,0,4,2,0,2,0,2,2,2,0,0,0,0,2,0,0,4,0,0,0,2,2,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Optics,3HE00035CA,"1-port OC-3/STM-1 SONET/SDH Optics Module, IR-1 / I-1, Singl",27,4,31,2,29,0,3,0,0,0,0,2,2,1,0,0,0,0,0,0,2,0,0,0,0,2,0,0,2,0,0,0,0,0,0,1,2,0,0,0,1,0,0,2,0,1,0,0,0,6,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Optics,3HE05036AA,SFP+  10GE ER - LC ROHS6/6 0/70C,14,0,14,0,14,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,4,0,0,0,2,0,0,0,0,0,2,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Optics,3HE19775AA,QSFP28 - 100G ZR -8dBm 0/70C,7,3,10,6,13,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
Optics,3AL82081AA,SFP EULH-II OSC 1511NM,4,1,5,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Optics,3HE10550AA,QSFP28- 100G LR4 10KM LC ROHS6/6 0/70C,2,0,2,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
